ip,app,device,os,channel,click_time,is_attributed
106857,19,6,29,213,2017-11-07 01:02:24,1
75754,19,1699,24,213,2017-11-08 06:22:48,1
109837,2,1,13,435,2017-11-08 04:00:23,0
248392,19,0,21,213,2017-11-08 15:41:55,1
100212,1,2,49,120,2017-11-09 08:18:11,0
72671,18,1,15,107,2017-11-08 15:59:51,0
166047,10,1,37,113,2017-11-07 12:02:29,1
59442,39,1,19,101,2017-11-08 03:46:01,1
64578,32,1,15,376,2017-11-08 09:50:07,0
6993,9,1,19,244,2017-11-09 03:31:36,0
90855,3,1,13,153,2017-11-09 01:48:58,0
96865,35,1,19,21,2017-11-08 07:47:59,1
307311,10,1,43,113,2017-11-09 13:39:46,1
56743,9,1,16,127,2017-11-09 14:41:28,0
75794,14,1,14,442,2017-11-08 04:53:42,0
13728,3,1,10,280,2017-11-08 10:46:35,1
306658,19,6,29,213,2017-11-09 01:25:15,1
47046,3,1,13,280,2017-11-07 12:48:48,0
39455,19,211,29,213,2017-11-08 22:51:45,1
97514,12,1,13,265,2017-11-09 01:45:44,0
14903,9,1,36,466,2017-11-08 11:16:01,1
169919,3,1,47,137,2017-11-06 19:54:22,0
146001,19,0,50,347,2017-11-07 09:05:57,1
167512,29,1,13,213,2017-11-07 15:20:22,1
25135,19,329,0,213,2017-11-09 11:16:07,1
171262,5,1,61,113,2017-11-07 05:52:50,1
73487,9,1,13,234,2017-11-08 14:39:57,0
245996,37,2,19,21,2017-11-08 00:35:51,1
201804,8,1,19,259,2017-11-07 05:00:59,1
67779,3,1,19,153,2017-11-08 12:41:27,0
6826,11,1,19,481,2017-11-08 05:06:18,0
32524,21,1,17,128,2017-11-07 10:01:10,0
170388,14,1,19,379,2017-11-07 03:37:40,0
307701,27,1,13,122,2017-11-09 11:40:29,0
105475,9,2,17,232,2017-11-09 14:20:04,0
243286,3,1,19,489,2017-11-08 05:08:00,0
202103,1,1,13,439,2017-11-07 08:20:11,0
41611,15,2,9,245,2017-11-08 22:43:35,0
36183,12,1,19,259,2017-11-08 05:43:20,0
36678,12,1,17,245,2017-11-07 22:09:05,0
59696,12,1,13,178,2017-11-09 10:43:16,0
157145,6,1,8,125,2017-11-07 12:37:44,0
138695,10,1,32,113,2017-11-07 08:31:25,1
114330,11,1,19,319,2017-11-09 04:38:50,0
335977,19,0,50,347,2017-11-09 13:12:32,1
53978,64,1,10,459,2017-11-08 08:17:48,0
99987,11,1,25,122,2017-11-09 02:06:31,1
124267,11,1,19,122,2017-11-08 02:20:07,1
122632,9,1,12,244,2017-11-07 15:09:20,0
339731,10,1,7,113,2017-11-09 13:59:12,1
138623,8,1,13,145,2017-11-06 16:42:23,0
130704,10,1,47,113,2017-11-07 11:21:31,1
51663,21,1,13,128,2017-11-07 06:11:28,0
121187,15,1,19,140,2017-11-09 15:20:03,0
107192,35,1,19,21,2017-11-09 02:53:31,1
108721,15,1,25,111,2017-11-08 09:19:07,0
218232,10,1,4,113,2017-11-08 05:15:55,1
212465,3,1,17,115,2017-11-08 10:25:22,0
263376,19,0,0,213,2017-11-08 06:49:51,1
